temperature,error_count,api_error_count,success_rate
0.0,1,0,0.99
0.1,2,0,0.98
0.2,0,0,1.0
0.3,6,0,0.94
0.4,0,0,1.0
0.5,2,0,0.98
0.6,5,0,0.95
0.7,1,0,0.99
0.8,2,0,0.98
0.9,4,3,0.66
1.0,5,1,0.85
1.1,8,1,0.82
1.2,10,3,0.60
1.3,1,2,0.79
1.4,7,4,0.53
1.5,0,7,0.3
1.6,4,4,0.56
1.7,1,9,0.09
1.8,0,10,0.0
1.9,0,10,0.0
2.0,0,10,0.0
