min_p,error_count,api_error_count,success_rate
0.0,0,10,0.9
0.1,0,20,0.8
0.2,0,20,0.8
0.3,10,40,0.5
0.4,0,40,0.6
0.5,0,40,0.6
0.6,0,40,0.6
0.7,10,30,0.6
0.8,0,40,0.6
0.9,0,70,0.3
1.0,0,60,0.4
