repetition_penalty,error_count,api_error_count,success_rate
1.0,0,30,0.7
1.1,1,40,0.59
1.2,0,90,0.1
1.3,10,90,0.0
1.4,0,100,0.0
1.5,0,100,0.0
1.6,0,100,0.0
1.7,0,100,0.0
1.8,0,100,0.0
1.9,10,90,0.0
2.0,0,100,0.0
