temperature,error_count,api_error_count,success_rate
0.0,2,0,0.98
0.1,0,0,1.0
0.2,10,0,0.9
0.3,2,0,0.98
0.4,5,0,0.95
0.5,1,0,0.99
0.6,3,0,0.97
0.7,12,0,0.88
0.8,2,0,0.98
0.9,10,0,0.9
1.0,14,0,0.86
1.1,24,0,0.76
1.2,16,0,0.84
1.3,12,10,0.78
1.4,23,10,0.67
1.5,21,40,0.39
