top_k,error_count,api_error_count,success_rate
0,0,100,0.0
10,0,100,0.0
20,0,100,0.0
30,0,100,0.0
40,0,100,0.0
50,0,100,0.0
60,0,100,0.0
70,0,100,0.0
80,0,100,0.0
90,0,100,0.0
100,0,100,0.0
