temperature,error_count,api_error_count,success_rate
0.0,6,0,0.94
0.1,13,0,0.87
0.2,3,0,0.97
0.3,3,10,0.87
0.4,2,0,0.98
0.5,2,20,0.78
0.6,26,0,0.74
0.7,10,10,0.8
0.8,2,0,0.98
0.9,19,0,0.81
1.0,13,0,0.87
1.1,16,0,0.84
1.2,7,0,0.93
1.3,23,0,0.77
1.4,24,10,0.66
1.5,1,70,0.29
