top_p,error_count,api_error_count,success_rate
0.0,3,10,0.87
0.1,5,0,0.95
0.2,7,0,0.93
0.3,3,0,0.97
0.4,10,0,0.9
0.5,3,0,0.97
0.6,0,0,1.0
0.7,2,0,0.98
0.8,3,0,0.97
0.9,20,0,0.8
1.0,4,0,0.96
